,highway,side,between,time,period,start_loc,end_loc,start_lat,start_lon,end_lat,end_lon,avg_lat,avg_lon,geohash,time_1,time_2
2255,Westmount Avenue (TO),West,Lane first south of St. Clair Avenue West and Rosemount Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Lane first south of St. Clair Avenue West , Rosemount Avenue,43.678224,-79.44200099999999,43.67656800000001,-79.441326,43.67656800000001,-79.441326,dpz82r0,10:00 a.m. to 6:00 p.m., Mon. to Fri.
2256,Weston Road,East,Jane Street and Craydon Avenue,Mon. to Fri.,1 hour,Jane Street , Craydon Avenue,43.69127399999999,-79.500861,43.69053600000001,-79.49905199999999,43.69053600000001,-79.49905199999999,dpz2wcw,Mon. to Fri.,
2257,Weston Road,East,Lambton Avenue and a point 30.5 metres southeast of Dennis Avenue,Mon. to Fri.,1 hour,Lambton Avenue , a point 30.5 metres southeast of Dennis Avenue,43.684236,-79.484004,43.685055000000006,-79.485624,43.685055000000006,-79.485624,dpz2x28,Mon. to Fri.,
2258,Weston Road,East,A point 84 metres north of Oak Street and Lambton Avenue,Anytime,1 hour,A point 84 metres north of Oak Street , Lambton Avenue,43.707753,-79.533594,43.684236,-79.484004,43.684236,-79.484004,dpz2x23,Anytime,
2260,Weston Road,East,Lippincott Street East and Victoria Avenue East,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Lippincott Street East , Victoria Avenue East,43.695459,-79.5072915,43.697295,-79.5094335,43.697295,-79.5094335,dpz2wdy,9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m.
2261,Weston Road,West,Sunnybrae Crescent and Glenvalley Drive,Mon. to Fri.,1 hour,Sunnybrae Crescent , Glenvalley Drive,43.68892500000001,-79.4950425,43.68809700000001,-79.4926035,43.68809700000001,-79.4926035,dpz2x15,Mon. to Fri.,
2262,Weston Road,West,St. Phillips Road and a point 45.5 metres north,Anytime,1 hour,St. Phillips Road , a point 45.5 metres north,43.706294052631584,-79.5322264736842,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,Anytime,
2263,Weston Road,East,A point opposite Dennis Avenue and a point opposite Sunnybrae Crescent,Mon. to Fri.,1 hour,A point opposite Dennis Avenue , a point opposite Sunnybrae Crescent,43.68505500000001,-79.48562399999999,43.68892500000001,-79.4950425,43.68892500000001,-79.4950425,dpz2x13,Mon. to Fri.,
2264,Weston Road,East,Bartonville Avenue East and Rutherford Avenue,Mon. to Fri.,1 hour,Bartonville Avenue East , Rutherford Avenue,43.689267,-79.49601,43.690023,-79.497882,43.690023,-79.497882,dpz2wcx,Mon. to Fri.,
2266,Weston Road,West,A point 33 metres north of Sykes Avenue and Victoria Avenue West,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,A point 33 metres north of Sykes Avenue , Victoria Avenue West,43.696791000000005,-79.50886200000001,43.69729500000001,-79.5094335,43.69729500000001,-79.5094335,dpz2wdy,9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m.
2267,Weston Road,Both,A point 64.4 metres south of Oak Street and a point 84.9 metres north of Oak Street,Anytime,1 hour,A point 64.4 metres south of Oak Street , a point 84.9 metres north of Oak Street,43.707753,-79.533594,43.707753,-79.533594,43.707753,-79.533594,dpz2whv,Anytime,
2268,Weston Road,East,A point 25 metres north of Clouston Avenue and a point 60 metres further north,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,A point 25 metres north of Clouston Avenue , a point 60 metres further north,43.694694,-79.50636,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m.
2269,Weston Road,West,A point 70 metres north of Clouston Avenue and a point 25 metres further north,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,A point 70 metres north of Clouston Avenue , a point 25 metres further north,43.694694,-79.50636,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m.
2270,Weston Road,West,Jane Street and Bartonville Avenue (northwest intersection),Mon. to Fri.,1 hour,Jane Street , Bartonville Avenue (northwest intersection),43.69127399999999,-79.500861,43.68925800000001,-79.49601,43.68925800000001,-79.49601,dpz2x12,Mon. to Fri.,
2271,Weston Road,West,Dennis Avenue and Lambton Avenue,Mon. to Fri.,1 hour,Dennis Avenue , Lambton Avenue,43.685055000000006,-79.485624,43.684236,-79.484004,43.684236,-79.484004,dpz2x23,Mon. to Fri.,
2272,Weston Road,West,Edmund Avenue and Sykes Avenue,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Edmund Avenue , Sykes Avenue,43.694055000000006,-79.50560399999999,43.696791000000005,-79.50886200000001,43.696791000000005,-79.50886200000001,dpz2wdz,9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m.
2273,Weston Road,West,A point 113 metres southeast of Eglinton Avenue West and Dennis Avenue,Mon. to Fri.,1 hour,A point 113 metres southeast of Eglinton Avenue West , Dennis Avenue,43.68696299999999,-79.4895435,43.685055000000006,-79.485624,43.685055000000006,-79.485624,dpz2x28,Mon. to Fri.,
2274,Weston Road,West,Eglinton Avenue West and Oxford Drive,Mon. to Fri.,1 hour,Eglinton Avenue West , Oxford Drive,43.68696299999999,-79.4895435,43.687899000000016,-79.4919915,43.687899000000016,-79.4919915,dpz2x15,Mon. to Fri.,
2275,Weston Road,East,Fern Avenue and a point 25.5 metres northwest,Anytime,1 hour,Fern Avenue , a point 25.5 metres northwest,43.702361999999994,-79.5237435,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,Anytime,
2278,Westview Boulevard,East,Amsterdam Avenue and the northeast end of Westview Boulevard,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Amsterdam Avenue , the northeast end of Westview Boulevard,43.71386400000001,-79.30485449999999,43.71061582575476,-79.30741163939621,43.71061582575476,-79.30741163939621,dpz8em6,8:00 a.m. to 6:00 p.m., Mon. to Fri.
2279,Weybourne Crescent,South,A point 30.5 metres south of St. Edmund's Drive and a point 30.5 metres west of Dawlish Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 30.5 metres south of St. Edmund's Drive , a point 30.5 metres west of Dawlish Avenue,43.722054,-79.4008035,43.721766,-79.3996335,43.721766,-79.3996335,dpz89pq,10:00 a.m. to 6:00 p.m., Mon. to Fri.
2280,Wheeler Avenue,East,Queen Street East and a point 228.5 metres south of Norway Avenue,Anytime,2 hours,Queen Street East , a point 228.5 metres south of Norway Avenue,43.67028599999999,-79.298901,43.67454299999999,-79.300674,43.67454299999999,-79.300674,dpz87qx,Anytime,
2281,Wheeler Avenue,East,A point 216 metres south of Norway Avenue and a point 63.7 metres south of Norway Avenue,Anytime,2 hours,A point 216 metres south of Norway Avenue , a point 63.7 metres south of Norway Avenue,43.67454299999999,-79.300674,43.67454299999999,-79.300674,43.67454299999999,-79.300674,dpz87qx,Anytime,
2282,Wheeler Avenue,East,Norway Avenue and a point 52.7 metres south,Anytime,2 hours,Norway Avenue , a point 52.7 metres south,43.67454299999999,-79.300674,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,Anytime,
2283,Whitaker Avenue,South,Tecumseth Street and the west end of Whitaker Avenue,10:00 a.m. of one day to 12:01 a.m. of the next following day,1 hour,Tecumseth Street , the west end of Whitaker Avenue,43.644069,-79.405524,43.64391751335118,-79.40620636291708,43.64391751335118,-79.40620636291708,dpz8314,10:00 a.m. of one day to 12:01 a.m. of the next following day,
2284,White Abbey Park,West,Japonica Road and the north end of White Abbey Park,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Japonica Road , the north end of White Abbey Park,43.761762,-79.30723049999999,43.76151685486283,-79.30712506123132,43.76151685486283,-79.30712506123132,dpz8gqd,8:00 a.m. to 4:00 p.m., Mon. to Fri.
2285,White Avenue,South,Florence Crescent and a point 38 metres west of Jane Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Florence Crescent , a point 38 metres west of Jane Street,43.66733400000001,-79.4945835,43.66791000000001,-79.492104,43.66791000000001,-79.492104,dpz2rje,8:00 a.m. to 6:00 p.m., Mon. to Fri.
2286,White Heather Boulevard,East,Sandhurst Circle and a point 173 metres north,"8:30 a.m. to 4:30 p.m., Mon. to Fri.",30 mins.,S,hurst Circle ,43.815166352569655,-79.26598349999999,43.815166352569655,-79.26598349999999,43.815166352569655,-79.26598349999999,dpz9k22,8:30 a.m. to 4:30 p.m., Mon. to Fri.
2287,Whitehorn Crescent,"West, north, east, south",Kingslake Road (west intersection) and Kingslake Road (east intersection),"8:00 a.m. to 7:30 p.m., Mon. to Fri.",1 hour,Kingslake Road (west intersection) , Kingslake Road (east intersection),43.79175000000001,-79.3496925,43.79175000000001,-79.3496925,43.79175000000001,-79.3496925,dpz94k5,8:00 a.m. to 7:30 p.m., Mon. to Fri.
2288,Whitmore Avenue,South,Locksley Avenue and Marlee Avenue,"8:00 a.m. to 7:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Locksley Avenue , Marlee Avenue,43.698581999999995,-79.4482515,43.70031,-79.440282,43.70031,-79.440282,dpz8873,8:00 a.m. to 7:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year
2289,Whitmore Avenue,North,Locksley Avenue and Marlee Avenue,"8:00 a.m. to 7:00 p.m., from the 16th day of each month to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Locksley Avenue , Marlee Avenue,43.698581999999995,-79.4482515,43.70031,-79.440282,43.70031,-79.440282,dpz8873,8:00 a.m. to 7:00 p.m., from the 16th day of each month to the last day of each month
2290,Whitmore Avenue,South,Locksley Avenue and Marlee Avenue,"8:00 a.m. to 7:00 p.m., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Locksley Avenue , Marlee Avenue,43.698581999999995,-79.4482515,43.70031,-79.440282,43.70031,-79.440282,dpz8873,8:00 a.m. to 7:00 p.m., from the 1st day of each month to the 15th day of each month
2291,Whitmore Avenue,South,Park Hill Road (west intersection) and the east end of Whitemore Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",2 hours,Park Hill Road (west intersection) , the east end of Whitemore Avenue,43.700418000000006,-79.4380905,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,10:00 a.m. to 6:00 p.m., Mon. to Fri.
2292,Wicksteed Avenue,North,Brentcliffe Road and East Borough limit except 30.5 metres east; 30.5 metres west of Clarke Street,8:00 a.m. to 6:00 p.m.,1 hour,Brentcliffe Road , East Borough limit except 30.5 metres east; 30.5 metres west of Clarke Street,43.71145200000001,-79.3585125,43.711929,-79.3562625,43.711929,-79.3562625,dpz8djw,8:00 a.m. to 6:00 p.m.,
