,highway,side,between,time,period,start_loc,end_loc
2414,Clearview Heights,South,A point 63 metres west of Keele Street and a point 187 metres further west,"8:30 a.m. to 9:30 a.m., 11:00 a.m. to 1:00 p.m., 3:00 p.m. to 4:00 p.m., Mon. to Fri.",10 mins.,A point 63 metres west of Keele Street , a point 187 metres further west
2416,Turnberry Avenue,North,A point 47 metres west of Rosethorn Avenue and a point 28 metres further west,"8:30 a.m. to 9:15 a.m., 11:30 a.m. to 1:00 p.m., 3:00 p.m. to 4:00 p.m., Mon. to Fri.",10 mins.,A point 47 metres west of Rosethorn Avenue , a point 28 metres further west
2417,Cliffwood Road,North and west,Cherrystone Drive and Hawleaf Crescent (west intersection),"8:00 a.m. to 4:00 p.m., Mon. to Fri.",15 mins.,Cherrystone Drive , Hawleaf Crescent (west intersection)
2419,Bond Street,East,A point 17.5 metres north of Shuter Street and a point 40.9 metres further north,"7:30 a.m. to 8:30 a.m., 11:30 a.m. to 1:30 p.m., 3:30 p.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 17.5 metres north of Shuter Street , a point 40.9 metres further north
2420,Bond Street,East,A point 83 metres north of Shuter Street and a point 29.8 metres further north,"7:30 a.m. to 8:30 a.m., 11:30 a.m. to 1:30 p.m., 3:30 p.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 83 metres north of Shuter Street , a point 29.8 metres further north
2421,Weston Road,East,A point 70.5 metres northwest of Fern Avenue and Church Street,Anytime,1 hour,A point 70.5 metres northwest of Fern Avenue , Church Street
2422,Weston Road,East,A point opposite Coulter Avenue and a point 30.5 metres southeast of St. Phillips Road,Anytime,1 hour,A point opposite Coulter Avenue , a point 30.5 metres southeast of St. Phillips Road
2423,Weston Road,West,A point opposite Coulter Avenue and a point 152.5 metres southeast of St. Phillips Road,Anytime,1 hour,A point opposite Coulter Avenue , a point 152.5 metres southeast of St. Phillips Road
2424,Weston Road,West,A point opposite Fern Avenue and a point opposite Church Street,Anytime,1 hour,A point opposite Fern Avenue , a point opposite Church Street
2425,Weston Road,West,A point 105 metres north of Gunns Road and Northland Avenue,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,A point 105 metres north of Gunns Road , Northl
2426,Charles Street West,North,Queen's Park and St. Thomas Street,9:30 a.m. to 6:00 p.m.,1 hour,Queen's Park , St. Thomas Street
2427,Slan Avenue,North,Greenock Avenue and a point opposite Spraywood Gate,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Greenock Avenue , a point opposite Spraywood Gate
2428,Tyrrel Avenue,North,A point 15 metres east of Winona Drive and a point 137.5 metres further east,"7:00 a.m. to 10:00 a.m., 10:45 a.m. to 1:00 p.m. and 3:15 p.m. to 6:15 p.m., Mon. to Fri.",15 mins.,A point 15 metres east of Winona Drive , a point 137.5 metres further east
2429,Ypres Road,South,A point 79 metres east of Scott Road and a point 25 metres further east,"8:30 a.m. to 9:30 a.m., 11:30 a.m. to 1:00 p.m., 3:00 p.m. to 4:00 p.m., Mon. to Fri.",10 mins.,A point 79 metres east of Scott Road , a point 25 metres further east
2430,Birmingham Street,North,Sixth Street and a point 31 metres east,Anytime,1 hour,Sixth Street , a point 31 metres east
2431,Greenland Road,South,The Donway East and Plateau Crescent,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",15 mins.,The Donway East , Plateau Crescent
2432,Windover Drive,South,Susan Street and a point 212 metres west,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Susan Street , a point 212 metres west
2437,Moutray Street,North,Dufferin Street and Sheridan Avenue (south intersection),"8:00 a.m. to 6:00 p.m., Mon. to Sat., from the 1st day to the 15th day of each month, Apr. 1 to Nov. 30, inclusive; 8:00a .m. to 6:00 p.m., Mon. to Sat., from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Dufferin Street , Sheridan Avenue (south intersection)
2438,Moutray Street,South,Dufferin Street and Sheridan Avenue (south intersection),"8:00 a.m. to 6:00 p.m., Mon. to Sat., from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Dufferin Street , Sheridan Avenue (south intersection)
2439,Moutray Street,North,Sheridan Avenue and Brock Avenue (north intersection),"Anytime, from the 1st day to the 15th day of each month, Apr. 1 to Nov. 30, inclusive; Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Sheridan Avenue , Brock Avenue (north intersection)
2440,Moutray Street,South,Sheridan Avenue and Brock Avenue (north intersection),"Anytime, from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Sheridan Avenue , Brock Avenue (north intersection)
2441,Princess Street,East,A point 67.1 metres north of King Street East and a point 11 metres further north,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 67.1 metres north of King Street East , a point 11 metres further north
2442,Rawlinson Avenue,East,Eglinton Avenue East and Roehampton Avenue (west intersection),8:00 a.m. to 6:00 p.m.,1 hour,Eglinton Avenue East , Roehampton Avenue (west intersection)
2443,Rawlinson Avenue,West,Roehampton Avenue (east intersection) and Broadway Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Roehampton Avenue (east intersection) , Broadway Avenue
2444,Roxton Road,West,Harrison Street and a point 53.1 metres north,"8:00 a.m. to 9:00 a.m., 11:30 a.m. to 1:00 p.m., 3:00 p.m. to 4:00 p.m., Mon. to Fri.",15 mins.,Harrison Street , a point 53.1 metres north
2445,Roxton Road,West,A point 64.1 metres north of Harrison Street and a point 25 metres further north,"8:00 a.m. to 9:00 a.m., 11:30 a.m. to 1:00 p.m., 3:00 p.m. to 4:00 p.m., Mon. to Fri.",15 mins.,A point 64.1 metres north of Harrison Street , a point 25 metres further north
2446,Geary Avenue,South,Delaware Avenue North and Ossington Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Delaware Avenue North , Ossington Avenue
2447,Vanley Crescent,South,Chesswood Drive (south intersection) and a point 50 metres east,Anytime,1 hour,Chesswood Drive (south intersection) , a point 50 metres east
2448,Vanley Crescent,South,A point 92 metres east of Chesswood Drive (south intersection) and a point 170 metres south of Chesswood Drive (north intersection),Anytime,1 hour,A point 92 metres east of Chesswood Drive (south intersection) , a point 170 metres south of Chesswood Drive (north intersection)
2449,Briar Hill Avenue,North,A point 30 metres east of Dufferin Street and a point 66 metres east of Dufferin Street,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",15 mins.,A point 30 metres east of Dufferin Street , a point 66 metres east of Dufferin Street
2450,Snooker Street,North,A point 15 metres east of Atlantic Avenue and a point 18 metres further east,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",30 mins.,A point 15 metres east of Atlantic Avenue , a point 18 metres further east
2451,Whitewood Road,East,Davisville Avenue and Millwood Road,"7:00 a.m. to 4:00 p.m., 7:00 p.m. to 12:01 a.m., Mon. to Fri.; 7:00 p.m. to 12:01 a.m., Sat. and Sun.",2 hours,Davisville Avenue , Millwood Road
2454,Thornhill Avenue,West,Raymond Avenue and Baby Point Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Raymond Avenue , Baby Point Road
2455,Quebec Avenue,East,Dundas Street West and the north end of Quebec Avenue,"8:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive; 8:00 a.m. to 6:00 p.m. from the first day to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Dundas Street West , the north end of Quebec Avenue
2456,Quebec Avenue,West,Dundas Street West and the north end of Quebec Avenue,"8:00 a.m. to 6:00 p.m., from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Dundas Street West , the north end of Quebec Avenue
2457,Bainbridge Avenue,North,DeHaviland Street and a point 95 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",30 mins.,DeHavil, Street 
2458,Bobmar Road,West,Military Trail and a point 172 metres north of Military Trail,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Military Trail , a point 172 metres north of Military Trail
2459,Canning Avenue,North,Gough Avenue and Pape Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri., 1st day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Gough Avenue , Pape Avenue
2460,Canning Avenue,South,Gough Avenue and Pape Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri., 16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Gough Avenue , Pape Avenue
2461,Carlaw Avenue,East,A point 112 metres north of Cruikshank Avenue (north intersection) and Browning Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri., 1st day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,A point 112 metres north of Cruikshank Avenue (north intersection) , Browning Avenue
2462,Carlaw Avenue,West,Danforth Avenue and Browning Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri., 16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Danforth Avenue , Browning Avenue
2463,Carlaw Avenue,East,Danforth Avenue and a point 86 metres north of Cruikshank Avenue (north intersection),"8:00 a.m. to 6:00 p.m., Mon. to Fri., 1st day to the 15th day of each month, from Apr. 1 to Nov. 30,  inclusive",1 hour,Danforth Avenue , a point 86 metres north of Cruikshank Avenue (north intersection)
2464,Cobourg Avenue,North,Brock Avenue and the east end of Cobourg Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat., 1st day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Brock Avenue , the east end of Cobourg Avenue
2465,Cobourg Avenue,South,Brock Avenue and the east end of Cobourg Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat., 16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Brock Avenue , the east end of Cobourg Avenue
2466,Concord Avenue,West,Hepbourne Street and the lane first south of Bloor Street West,"Anytime, Mon. to Sat., 16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Hepbourne Street , the lane first south of Bloor Street West
2467,Concord Avenue,West,Dewson Street and Hepbourne Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat., 16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Dewson Street , Hepbourne Street
2468,Concord Avenue,East,Dewson Street and Hepbourne Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat., 1st day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Dewson Street , Hepbourne Street
2469,Concord Avenue,East,Hepbourne Street and the lane first south of Bloor Street West,"Anytime, Mon. to Sat., 1st day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Hepbourne Street , the lane first south of Bloor Street West
2470,Crang Avenue,East,St. Clair Avenue West and a point 55 metres north,"8:00 a.m. to 7:00 p.m., 1st  day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,St. Clair Avenue West , a point 55 metres north
2471,Crang Avenue,West,St. Clair Avenue West and a point 55 metres north,"8:00 a.m. to 7:00 p.m., 16th day of each month to 7:00 p.m. on the first day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,St. Clair Avenue West , a point 55 metres north
2472,Crawford Street,East,Dundas Street West and Sully Crescent,"8:00 a.m. to 6:00 p.m., 1st day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Dundas Street West , Sully Crescent
2474,St. Clarens Avenue,East,Paton Road and Wallace Avenue (east intersection) added,"10:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Paton Road , Wallace Avenue (east intersection) added
2476,Logan Avenue,West,A point 50 metres south of Danforth Avenue and a point 38.2 metres further south,"8:30 a.m. to 4:00 p.m., Mon. to Fri.",10 mins.,A point 50 metres south of Danforth Avenue , a point 38.2 metres further south
2479,Cove Drive,West,Golfdown Drive and a point 53 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,Golfdown Drive , a point 53 metres south
2480,Cove Drive,West,A point 98 metres south of Golfdown Drive and a point 72 metres south thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 98 metres south of Golfdown Drive , a point 72 metres south thereof
2481,Parkhurst Boulevard,North,A point opposite Randolph Road and a point 42 metres west of Laird Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",15 mins.,A point opposite R,olph Road 
2483,Mallory Gardens,West,A point 9 metres south of Oriole Gardens and a point 27 metres further south,"8:30 a.m. to 9:30 a.m., 11:30 a.m. to 12:00 noon, 12:30 p.m. to 1:30 p.m., 2:30 p.m. to 3:30 p.m., Mon. to Fri.",10 mins.,A point 9 metres south of Oriole Gardens , a point 27 metres further south
2484,Ulster Street,North,Bathurst Street and Brunswick Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Bathurst Street , Brunswick Avenue
2488,Merriday Street,North,Ourland Avenue and a point 155.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,Ourl, Avenue 
2489,Maple Boulevard,North,A point 49 metres east of Second Street and Dwight Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 49 metres east of Second Street , Dwight Avenue
2490,Poplar Avenue,West,Bloor Street West and a point 34 metres south,Anytime,1 hour,Bloor Street West , a point 34 metres south
2491,Hollywood Avenue,North,A point 92 metres west of Estelle Avenue and a point 81 metres west thereof,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",15 mins.,A point 92 metres west of Estelle Avenue , a point 81 metres west thereof
2492,Royal York Road,West,Newcastle Street and Evans Avenue,Anytime,1 hour,Newcastle Street , Evans Avenue
2493,Dupont Street,North,A point 41 metres east of Edwin Avenue and a point 46 metres west of Symington Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 41 metres east of Edwin Avenue , a point 46 metres west of Symington Avenue
2496,Folkes Street (TO),North,Jane Street and a point 38.3 metres west,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,Jane Street , a point 38.3 metres west
2499,Aberdeen Avenue,North,Parliament Street and a point 106.7 metres west,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Parliament Street , a point 106.7 metres west
2500,Aberdeen Avenue,North,Ontario Street and a point 128 metres west of Parliament Street,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Ontario Street , a point 128 metres west of Parliament Street
2501,Ontario Street,East,Carlton Street and Winchester Street,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Carlton Street , Winchester Street
2502,Winchester Street,South,A point 107 metres east of Ontario Street and Parliament Street,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 107 metres east of Ontario Street , Parliament Street
2503,College Street,North,Lansdowne Avenue and Brock Avenue,"8:00 a.m. to 3:30 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Lansdowne Avenue , Brock Avenue
2504,College Street,South,Sheridan Avenue and Lansdowne Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Sheridan Avenue , Lansdowne Avenue
2506,Carlaw Avenue,East,Harcourt Avenue and Danforth Avenue,10:00 a.m. to 10:00 p.m.,1 hour,Harcourt Avenue , Danforth Avenue
2507,Mountjoy Avenue,Both,Gillard Avenue and Monarch Park Avenue,10:00 a.m. to 6:00 p.m.,1 hour,Gillard Avenue , Monarch Park Avenue
2508,Madison Avenue,West,A point 35 metres south of Davenport Road and a point 24 metres further south,"7:30 a.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 35 metres south of Davenport Road , a point 24 metres further south
2509,Rogers Road,North,A point 30.5 metres east of Old Weston Road and a point 15 metres west of Kane Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 30.5 metres east of Old Weston Road , a point 15 metres west of Kane Avenue
2510,Rogers Road,North,A point 15 metres east of Rosethorn Avenue and a point 30.5 metres west of Silverthorn Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 15 metres east of Rosethorn Avenue , a point 30.5 metres west of Silverthorn Avenue
2511,Rogers Road,North,A point 30.5 metres east of Silverthorn Avenue and a point 15 metres west of Blackthorn Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat",1 hour,A point 30.5 metres east of Silverthorn Avenue , a point 15 metres west of Blackthorn Avenue
2512,Rogers Road,South,A point 30.5 metres east of Glenholme Avenue and a point 60 metres west of Oakwood Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 30.5 metres east of Glenholme Avenue , a point 60 metres west of Oakwood Avenue
2513,Rogers Road,South,A point 15 metres east of Kane Avenue and a point 15 metres west of Chambers Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 15 metres east of Kane Avenue , a point 15 metres west of Chambers Avenue
2514,Davenport Road,North,A point 48 metres west of Bathurst Street and a point 20 metres further west,Anytime,2 hours (buses only),A point 48 metres west of Bathurst Street , a point 20 metres further west
2515,Hounslow Heath Road,South,Laughton Avenue and a point 30 metres west,"8:00 a.m. to 6:00 p.m., Sat.",1 hour,Laughton Avenue , a point 30 metres west
2516,Hounslow Heath Road,South and west,A point 15 metres south of St. Clair Avenue West and a point 30 metres west of Laughton Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 15 metres south of St. Clair Avenue West , a point 30 metres west of Laughton Avenue
2519,Arlington Avenue,East,Benson Avenue and St. Clair Avenue West,"8:00 a.m. to 6:00 p.m., Mon. to Fri., from the 1st day to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Benson Avenue , St. Clair Avenue West
2520,Arlington Avenue,West,Benson Avenue and St. Clair Avenue West,"8:00 a.m. to 6:00 p.m., Mon. to Fri., from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive, and from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Benson Avenue , St. Clair Avenue West
2521,Austin Terrace,North,Austin Crescent (south intersection) and Lyndhurst Avenue,"8:00 a.m. to 4:00 p.m., Mon. to Fri., from the 1st day to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Austin Crescent (south intersection) , Lyndhurst Avenue
2522,Hilton Avenue,East,Nina Street and Melgund Road,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Nina Street , Melgund Road
2523,Hilton Avenue,West,Melgund Road and St. Clair Avenue West,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Melgund Road , St. Clair Avenue West
2526,Winterton Drive,South,Tromley Drive and a point 90 metres west,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,Tromley Drive , a point 90 metres west
2528,Dundas Street West,South,Shaw Street and Grace Street,9:00 a.m. to 6:00 p.m.,1 hour,Shaw Street , Grace Street
2529,Watson Avenue,West,A point 62.5 metres north of St. Mark’s Road and a point 24 metres further north,"8:00 a.m. to 9:00 a.m., 11:30 a.m. to 1:00 p.m., 3:00 p.m. to 4:30 p.m., Mon. to Fri.",15 mins.,A point 62.5 metres north of St. Mark’s Road , a point 24 metres further north
2531,Grenville Street,South,A point 98 metres east of Bay Street and a point 18.5 metres further east,"8:00 a.m. to 8:00 p.m., Mon. to Fri.",20 mins.,A point 98 metres east of Bay Street , a point 18.5 metres further east
2535,Faywood Boulevard,East,A point 15 metres north of McAllister Road and a point 106 metres north thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",30 mins.,A point 15 metres north of McAllister Road , a point 106 metres north thereof
2536,Thistle Down Boulevard,South,A point 40 metres east of Bankfield Drive and a point 66 metres east of Bankfield Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 40 metres east of Bankfield Drive , a point 66 metres east of Bankfield Drive
2537,Ossington Avenue,West,A point 36 metres south of Shannon Street and a point 46.6 metres north of Churchill Avenue,"8:00 a.m. to 9:00 a.m., 11:00 a.m. to 12:00 noon, 3:00 p.m. to 4:00 p.m., Mon. to Fri.",15 mins.,A point 36 metres south of Shannon Street , a point 46.6 metres north of Churchill Avenue
2538,Ossington Avenue,West,Dundas Street West and Harrison Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Dundas Street West , Harrison Street
2539,Ossington Avenue,West,A point 36 metres south of Shannon Street and a point 46.6 metres north of Churchill Avenue,"8:00 a.m. to 6:00 p.m., Sat.",1 hour,A point 36 metres south of Shannon Street , a point 46.6 metres north of Churchill Avenue
2540,Ossington Avenue,West,Ossington Crescent and Churchill Avenue,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Ossington Crescent , Churchill Avenue
2541,Ossington Avenue,West,A point 36 metres south of Shannon Street and College Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,A point 36 metres south of Shannon Street , College Street
2542,Hartfield Road,South,A point 73 metres southwest of The Kingsway and a point 62 metres further southwest,"8:00 a.m. to 9:00 a.m., 11:00 a.m. to 1:00 p.m., 3:00 p.m. to 5:00 p.m., Mon, to Fri.",10 mins.,A point 73 metres southwest of The Kingsway , a point 62 metres further southwest
2544,Northcliffe Boulevard,West,A point 15 metres north of St. Clair Avenue West and a point approximately 61.2 metres north of St. Clair Avenue West,"7:30 a.m. to 9:30 a.m., 11:30 a.m. to 1:00 p.m., 3:30 p.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 15 metres north of St. Clair Avenue West , a point approximately 61.2 metres north of St. Clair Avenue West
2546,Yarmouth Gardens,South,Manning Avenue and Palmerston Avenue,"8:00 a.m. of one day to 12:01 a.m. of the next following day, inclusive",1 hour,Manning Avenue , Palmerston Avenue
2547,Bridgman Avenue,North,A point 45 metres east of Howland Avenue (west intersection) and Dartnell Avenue,10:00 a.m. to 6:00 p.m.,1 hour,A point 45 metres east of Howl, Avenue (west intersection) 
2548,Dartnell Avenue,West,A point 30.5 metres north of Bridgman Avenue and Davenport Road,10:00 a.m. to 6:00 p.m.,1 hour,A point 30.5 metres north of Bridgman Avenue , Davenport Road
2550,Swanwick Avenue,South,Scarborough Road (south intersection) and a point 59 metres west,"8:30 a.m. to 5:00 p.m., Mon. to Fri.",15 mins.,Scarborough Road (south intersection) , a point 59 metres west
2551,Dixfield Drive,South,Wellesworth Drive (northwest intersection) and a point 128 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,Wellesworth Drive (northwest intersection) , a point 128 metres east
2553,Bamburgh Circle (West Leg),West,Huntsmill Boulevard (north intersection) and 43 metres south of Huntsmill Boulevard (north intersection),"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Huntsmill Boulevard (north intersection) , 43 metres south of Huntsmill Boulevard (north intersection)
2554,Huntsmill Boulevard,South,Bamburgh Circle (north intersection) and a point 48 metres west of Bamburgh Circle (north intersection),"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Bamburgh Circle (north intersection) , a point 48 metres west of Bamburgh Circle (north intersection)
2557,Crawford Street,West,Queen Street West and a point 213.5 metres south of Dundas Street West,8:00 a.m. to 6:00 p.m.,1 hour,Queen Street West , a point 213.5 metres south of Dundas Street West
2558,Cowan Avenue,West,A point 95 metres south of Queen Street West and a point 20 metres further south,"7:00 a.m. to 10:00 a.m., 3:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 95 metres south of Queen Street West , a point 20 metres further south
2559,Lippincott Street West,North,Denison Road West and a point 44 metres west of Weston Road,"8:00 a.m. to 6:00 p.m., Mon. to Sat., except public holidays",1 hour,Denison Road West , a point 44 metres west of Weston Road
2560,Market Street,West,A point 52.5 metres south of The Esplanade and a point 16 metres further south,"7:30 a.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 52.5 metres south of The Esplanade , a point 16 metres further south
2564,Silver Springs Boulevard,West,A point 30 metres north of Rakewood Crescent (north intersection) and a point 70 metres north of Revlis Crescent (north intersection),"8:00 a.m. to 4:00 p.m., Mon. to Sat.",30 mins.,A point 30 metres north of Rakewood Crescent (north intersection) , a point 70 metres north of Revlis Crescent (north intersection)
2566,Annette Street,North,Windermere Avenue and Durie Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,Windermere Avenue , Durie Street
2569,Monterrey Drive ,East,A point 180 metres south of Taysham Crescent and a point 53 metres further south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 180 metres south of Taysham Crescent , a point 53 metres further south
2570,Earlscourt Avenue,East,A point 39 metres north of St. Clair Avenue West and Ascot Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 39 metres north of St. Clair Avenue West , Ascot Avenue
2571,Roselawn Avenue,South,A point 30.5 metres east of Caldow Road and a point 60 metres further east,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 30.5 metres east of Caldow Road , a point 60 metres further east
2572,Roselawn Avenue,South,A point 30.5 metres west of Caldow Road and a point 60 metres further west,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 30.5 metres west of Caldow Road , a point 60 metres further west
2574,Harrison Garden Boulevard,West,A point 60 metres south of Avondale Avenue and a point 72 metres south thereof,Anytime,20 mins.,A point 60 metres south of Avondale Avenue , a point 72 metres south thereof
2575,Hillmount Avenue,South,A point 83 metres west of Bathurst Street and a point 30 metres west thereof,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 83 metres west of Bathurst Street , a point 30 metres west thereof
2576,Glenmount Avenue,East,Hillmount Avenue and Viewmount Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,Hillmount Avenue , Viewmount Avenue
2577,Viewmount Avenue,North,A point 30 metres west of Bathurst Street and a point 94 metres west of Bathurst Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 30 metres west of Bathurst Street , a point 94 metres west of Bathurst Street
2578,Bernadine Street,North,Brimley Road and a point 107.6 metres east of Brimley Road,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Brimley Road , a point 107.6 metres east of Brimley Road
2579,Bernadine Street,North,A point 152.6 metres east of Brimley Road and a point 204 metres east of Brimley Road,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 152.6 metres east of Brimley Road , a point 204 metres east of Brimley Road
2580,Alexmuir Boulevard,East,A point 36.6 metres north of Carolbreen Square and a point 234 metres further north,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 36.6 metres north of Carolbreen Square , a point 234 metres further north
2581,Withrow Avenue,South,A point 395 metres west of Logan Avenue and a point 65 metres further west,"8:30 a.m. to 4:30 p.m., Mon. to Fri., except Jul., Aug. and public holidays",10 mins.,A point 395 metres west of Logan Avenue , a point 65 metres further west
2582,Roxton Road,East,Dundas Street West and Harrison Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Dundas Street West , Harrison Street
2583,Maplewood Avenue,South,Vaughan Road (south intersection) and a point 31 metres east,Anytime,30 mins.,Vaughan Road (south intersection) , a point 31 metres east
2584,Lonsdale Road,North,A point 60 metres west of Russell Hill Road and a point 25 metres further west,"7:30 a.m. to 6:30 p.m., Mon. to Fri.",10 mins.,A point 60 metres west of Russell Hill Road , a point 25 metres further west
2585,Baden Street,North,Ossington Avenue and the west end of Baden Street,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Ossington Avenue , the west end of Baden Street
2587,Humberside Avenue,North,Indian Road Crescent and a point 97.5 metres east,"8:30 a.m. to 4:00 p.m., Mon. to Fri., except public holidays, from Sep. 1 of one year to Jun. 30 of the next following year, inclusive",15 mins.,Indian Road Crescent , a point 97.5 metres east
