,highway,side,between,time,period,start_loc,end_loc
1256,Manor Road East,South,Servington Crescent (west intersection) and Redpath Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",10 mins.,Servington Crescent (west intersection) , Redpath Avenue
1257,Manor Road East,South,Servington Crescent (west intersection) and Redpath Avenue,"12:01 a.m. to 8:00 a.m., 10:00 a.m. to 12:00 midnight, Mon. to Fri.; 10:00 a.m. to 6:00 p.m., Sat. and Sun.",1 hour,Servington Crescent (west intersection) , Redpath Avenue
1258,Manor Road East,South,A point opposite Redpath Avenue and Mount Pleasant Road,10:00 a.m. to 6:00 p.m.,1 hour,A point opposite Redpath Avenue , Mount Pleasant Road
1259,St. Patrick Street,West,A point 54 metres south of Dundas Street West and a point 25 metres further south,"7:30 a.m. to 10:00 a.m., 3:30 p.m. to 6:30 p.m., Mon. to Fri.",10 mins.,A point 54 metres south of Dundas Street West , a point 25 metres further south
1260,Summerhill Avenue,North,Jean Street and a point 120.7 metres west,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Jean Street , a point 120.7 metres west
1261,Summerhill Avenue,North,A point opposite Maclennan Avenue and a point 148.2 metres west of Jean Street,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point opposite Maclennan Avenue , a point 148.2 metres west of Jean Street
1262,Ernest Avenue,South,A point 42 metres west of Perth Avenue and the west end of Ernest Avenue,"8:00 a.m. to 4:00 p.m., Sat.",1 hour,A point 42 metres west of Perth Avenue , the west end of Ernest Avenue
1263,Ernest Avenue,South,Perth Avenue and Symington Avenue,"8:00 a.m. to 4:00 p.m., Sat., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30; and Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Perth Avenue , Symington Avenue
1264,Ernest Avenue,North,Perth Avenue and Symington Avenue,"8:00 a.m. to 4:00 p.m., Sat., from the 16th day of each month to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Perth Avenue , Symington Avenue
1265,Randolph Avenue,North,Perth Avenue and the west end of Randolph Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Perth Avenue , the west end of R
