,lat,lng,geo_hash,record_date,8hr_Vehicle_Vol,8hr_Pedestrian_Vol
131,43.636950000000006,-79.5567,dpz2jxu,2012-09-18,29287,742
132,43.636969,-79.50704800000001,dpz2nzb,2016-05-03,11662,549
133,43.637040000000006,-79.44753,dpz80pu,2010-03-29,14539,236
134,43.63711,-79.42664,dpz80xg,2016-04-25,6472,388
135,43.63718,-79.43602,dpz80ru,2013-12-05,14234,4317
136,43.63721,-79.46983,dpz2pxg,2011-11-16,19569,1115
137,43.63732,-79.39723000000001,dpz81rb,2009-09-16,23987,148
138,43.63767,-79.39191000000001,dpz81ru,2012-06-07,8423,2887
139,43.637750000000004,-79.43321,dpz822n,2012-10-29,10235,2405
140,43.63777,-79.46645000000001,dpz2r8n,2011-11-08,16995,690
141,43.637832657000004,-79.39096678700001,dpz832j,2008-04-22,7022,1604
142,43.637865000000005,-79.458968,dpz2rb5,2014-12-03,37223,56
143,43.63823,-79.43090000000001,dpz8280,2015-10-07,9259,2198
144,43.638362,-79.45353,dpz2rbp,2013-08-13,30083,301
145,43.638474,-79.392196,dpz832h,2012-10-06,24526,854
146,43.63853,-79.53800000000001,dpz2q04,2015-05-20,23209,1458
147,43.63871,-79.44619,dpz820j,2012-01-17,11428,2278
148,43.638797516000004,-79.386772414,dpz8380,2012-02-15,6665,2434
149,43.638870000000004,-79.40062,dpz830n,2015-04-12,11653,5808
150,43.63897,-79.42736000000001,dpz8284,2016-06-11,13926,5310
151,43.63904,-79.54776000000001,dpz2mb5,2012-09-19,14424,333
152,43.639250000000004,-79.58432,dpz2m02,2014-09-30,22625,629
153,43.639261000000005,-79.410864,dpz82bq,2011-06-13,10518,374
154,43.639320000000005,-79.45129,dpz8203,2015-03-04,13888,555
155,43.63935,-79.56481000000001,dpz2m2q,2009-12-08,9300,504
156,43.63938,-79.52121000000001,dpz2q2q,2014-04-24,16575,400
157,43.639449055,-79.382923973,dpz8387,2009-04-23,7181,2104
158,43.63953,-79.45948,dpz2rb7,2011-11-17,14367,642
159,43.63973,-79.42358,dpz828m,2011-09-29,8970,847
160,43.63976,-79.44095,dpz8222,2015-06-09,7495,1527
161,43.6397744,-79.54447640000001,dpz2mbm,2011-04-13,10416,124
162,43.639907613000005,-79.380398764,dpz838k,2009-04-22,9230,4629
163,43.63994,-79.387,dpz8382,2012-08-25,22733,1895
164,43.640190000000004,-79.42127,dpz828r,2013-12-09,12277,1830
165,43.640283676,-79.38338667400001,dpz8386,2012-10-06,7069,1587
166,43.640358000000006,-79.38883700000001,dpz832q,2011-05-02,6011,1034
167,43.64054,-79.39294000000001,dpz832e,2015-07-08,22600,8056
168,43.64056,-79.43699000000001,dpz822e,2013-05-15,12715,5387
169,43.640660000000004,-79.54059000000001,dpz2q08,2011-05-25,14144,446
170,43.64067,-79.58202,dpz2m0d,2011-10-19,14770,369
171,43.640732,-79.40137800000001,dpz830t,2015-04-11,13833,2556
172,43.64077,-79.39158,dpz832s,2009-12-16,7773,709
173,43.64096876,-79.45462703700001,dpz2rbw,2010-01-13,13768,110
174,43.641006000000004,-79.380705,dpz838s,2009-04-21,13737,2168
175,43.64101,-79.41727,dpz82bd,2015-08-24,10301,1835
176,43.641070000000006,-79.43451,dpz822t,2011-08-25,7262,2643
177,43.641096271,-79.377041249,dpz838x,2009-04-22,9423,4381
178,43.641450000000006,-79.41501000000001,dpz82be,2012-10-25,13354,3354
179,43.641450000000006,-79.39882,dpz830x,2015-06-15,5875,1283
180,43.641464000000006,-79.557686,dpz2m8e,2014-12-16,10997,258
181,43.641490000000005,-79.43236,dpz822x,2012-02-21,8149,2065
182,43.641609300000006,-79.380953,dpz838s,2012-08-21,24814,7285
183,43.641740498000004,-79.53555821100001,dpz2q0e,2013-01-10,19184,104
184,43.64195,-79.37461,dpz83bc,2009-04-22,9669,1160
185,43.642050000000005,-79.41194,dpz82bv,2013-12-05,13533,4681
186,43.642100400000004,-79.37744400000001,dpz838z,2009-06-09,18261,7776
187,43.642183279,-79.509469529,dpz2q8y,2016-06-07,10851,368
188,43.64222,-79.42863,dpz828c,2016-06-11,14622,6472
189,43.64227,-79.56595,dpz2m2v,2012-05-17,7780,338
