,geohash,capacity
103,dpz2q9z,40.0
104,dpz2qf0,59.0
105,dpz2qf1,21.0
106,dpz2q9y,65.0
107,dpz2q9y,116.0
108,dpz2q9t,11.0
109,dpz2nc7,53.0
110,dpz2ncm,24.0
111,dpz2nc2,45.0
112,dpz2n2w,22.0
113,dpz2nc4,54.0
114,dpz2q98,57.0
115,dpz2ny5,28.0
116,dpz2p5t,23.0
117,dpz2nvg,15.0
118,dpz2q1q,62.0
119,dpz8dce,20.0
120,dpz2we9,190.0
121,dpz2x99,14.0
122,dpz2r4p,113.0
123,dpz2r4p,100.0
124,dpz2qz3,11.0
125,dpz880u,94.0
126,dpz880u,23.0
127,dpz8834,21.0
128,dpz2xb0,24.0
129,dpz8848,130.0
130,dpz884y,40.0
131,dpz9h95,261.0
132,dpz8ebh,83.0
133,dpz836b,357.0
134,dpz2q3j,25.0
135,dpz8c4f,129.0
136,dpz2x1h,47.0
137,dpz87jn,66.0
138,dpz87jj,18.0
139,dpz83qh,172.0
140,dpz830x,37.0
141,dpz837s,38.0
142,dpz833d,23.0
143,dpz833d,18.0
144,dpz9hgs,98.0
145,dpz9hgs,24.0
146,dpz81p3,65.0
147,dpz83rt,71.0
148,dpz886c,23.0
149,dpz2rm5,13.0
150,dpz83f9,20.0
151,dpz836y,36.0
152,dpz82xc,18.0
153,dpz8936,37.0
154,dpz2x3t,109.0
155,dpz2x3t,38.0
156,dpz2n8d,30.0
157,dpz2n81,210.0
158,dpz82b0,184.0
159,dpz888j,18.0
160,dpz888n,25.0
161,dpz829n,8.0
162,dpz8644,230.0
163,dpz83je,65.0
164,dpz8646,120.0
165,dpz824c,10.0
166,dpz87jr,10.0
167,dpz9h8f,214.0
168,dpz90f5,23.0
169,dpz87hx,292.0
170,dpz87hp,270.0
171,dpz2pxk,189.0
172,dpz2pzc,187.0
173,dpz80pc,177.0
174,dpz80r4,120.0
175,dpz2pmn,228.0
176,dpz2pkg,80.0
177,dpz2pks,144.0
178,dpz2pkn,28.0
179,dpz2p7v,22.0
180,dpz2p7s,10.0
181,dpz8suw,238.0
182,dpz8sux,141.0
183,dpz8tjd,168.0
184,dpz83jk,38.0
185,dpz88up,25.0
186,dpz8885,18.0
187,dpz8ge2,25.0
188,dpz882f,22.0
189,dpz826y,34.0
190,dpz8dbh,20.0
191,dpz2np9,564.0
192,dpz2npv,829.0
193,dpz2q34,534.0
194,dpz2q3e,473.0
195,dpz2q3t,283.0
196,dpz2rgm,187.0
197,dpz8b11,610.0
198,dpz8b1k,645.0
199,dpz8b1f,885.0
200,dpz8c53,263.0
201,dpz90f6,1552.0
202,dpz90f7,1675.0
203,dpz91bn,102.0
204,dpz8up8,68.0
205,dpz8uht,90.0
206,dpz8u33,112.0
207,dpz8u36,151.0
208,dpz8u34,673.0
209,dpz8eyj,920.0
210,dpz8evn,151.0
211,dpz8edp,173.0
212,dpz943j,366.0
213,dpz2np6,72.0
214,dpz8u39,199.0
215,dpz2zgg,632.0
216,dpz83e0,27.0
217,dpz8b18,72.0
218,dpz89sx,33.0
219,dpz2ryg,37.0
220,dpz8689,123.0
221,dpz82pr,14.0
222,dpz2ryu,7.0
223,dpz82fw,43.0
224,dpz2q2c,270.0
225,dpz2v6q,23.0
226,dpz83j7,51.0
227,dpz8361,35.0
228,dpz8365,99.0
229,dpz86k4,22.0
230,dpz8305,50.0
231,dpz830k,81.0
232,dpz8643,83.0
233,dpz864m,103.0
234,dpz83qy,48.0
235,dpz830f,135.0
236,dpz2pqr,14.0
237,dpz89jr,37.0
238,dpz9h2r,16.0
239,dpz9ph0,128.0
240,dpz9h53,291.0
241,dpz2v4d,108.0
242,dpz83u2,4.0
243,dpz2xhr,125.0
244,dpz2xke,79.0
245,dpz2p5w,26.0
246,dpz2z9n,10.0
247,dpz8dvd,63.0
248,dpz2rs0,19.0
249,dpz904h,42.0
250,dpz8bdq,46.0
251,dpz8cgj,95.0
252,dpz88rp,0.0
253,dpz8b0x,77.0
254,dpz9177,61.0
255,dpz912w,29.0
256,dpz944e,21.0
257,dpz9jmc,11.0
258,dpxryrd,19.0
259,dpxryrc,33.0
260,dpz8s6d,67.0
261,dpz8s67,331.0
262,dpz8urc,18.0
263,dpz8urc,39.0
264,dpz8urc,16.0
265,dpz8uqt,31.0
266,dpz8ebj,88.0
267,dpz2ves,0.0
268,dpz8tjg,154.0
269,dpz8th2,177.0
270,dpz8f7d,156.0
271,dpz86e2,6.0
272,dpz9j92,19.0
273,dpz8fgy,24.0
274,dpz8fgw,3.0
275,dpz8egd,100.0
276,dpz2xty,61.0
277,dpz2wb9,54.0
278,dpz8gj6,20.0
279,dpz8vj7,55.0
280,dpz8vtf,39.0
281,dpz889b,91.0
282,dpz2kg0,80.0
283,dpz2kfz,4.0
284,dpz2kf0,94.0
285,dpz2kf5,88.0
286,dpz2kfn,75.0
287,dpz2m4c,64.0
288,dpz2kfc,95.0
289,dpz2kgf,27.0
290,dpz2m42,62.0
291,dpz2m49,431.0
292,dpz2kgq,511.0
293,dpz2kgp,101.0
294,dpz2m50,23.0
295,dpz2kfj,40.0
296,dpz8ff3,52.0
