,geohash,SearchingByHour
2027,dpz8u9c,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.2, 9: 0.1944, 10: 0, 11: 0.3333, 12: 0.0417, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0.3333, 22: 1, 23: 0}"
2028,dpz8u3z,"{0: 0.1429, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.25, 9: 0, 10: 0, 11: 0, 12: 0.125, 13: 0.1364, 14: 0.1818, 15: 0.125, 16: 0, 17: 0.1667, 18: 0, 19: 0, 20: 0, 21: 0.25, 22: 0, 23: 0}"
2029,dpz8b9z,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.1429, 10: 0.0714, 11: 0.2, 12: 0, 13: 0.4286, 14: 0.2, 15: 0, 16: 0, 17: 0, 18: 0.5, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2030,dpz8v3c,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0.4286, 12: 0.1667, 13: 0.3333, 14: 0.0714, 15: 0.1818, 16: 0.4, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2031,dpz8fcv,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.1053, 9: 0.4286, 10: 0.5, 11: 0, 12: 0.2, 13: 0.3333, 14: 0.5, 15: 0.3333, 16: 0.3333, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2032,dpz8u3u,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.25, 10: 0.1111, 11: 0.2941, 12: 0, 13: 0.3333, 14: 0.0909, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2033,dpz2zcz,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.25, 6: 0, 7: 0.5, 8: 1, 9: 0.6667, 10: 1, 11: 1, 12: 0, 13: 0.6667, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0.3333, 22: 0, 23: 0}"
2034,dpz8u9u,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0435, 10: 0, 11: 0, 12: 0.0588, 13: 0, 14: 0, 15: 0, 16: 0.1053, 17: 0.04, 18: 0.0833, 19: 0, 20: 0.0455, 21: 0.0606, 22: 0.0714, 23: 0.0476}"
2035,dpz8f3y,"{0: 0.1, 1: 0, 2: 0, 3: 0, 4: 0.1818, 5: 0, 6: 0.2222, 7: 0, 8: 0.125, 9: 0, 10: 0.1111, 11: 0.0909, 12: 0.25, 13: 0, 14: 0.0833, 15: 0, 16: 0.4, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2036,dpz2y1v,"{0: 1, 1: 0, 2: 0.5, 3: 0.75, 4: 1, 5: 0, 6: 0, 7: 0.0588, 8: 0.1667, 9: 0, 10: 0, 11: 0.0833, 12: 0.4, 13: 0.0556, 14: 0.087, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0.0222, 20: 0, 21: 0.5, 22: 0, 23: 0}"
2037,dpz2u9c,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0313, 9: 0.1154, 10: 0, 11: 0.1049, 12: 0.1923, 13: 0.1905, 14: 0.0714, 15: 0.0333, 16: 0.0435, 17: 0.0769, 18: 0, 19: 0.125, 20: 0, 21: 0, 22: 0, 23: 0}"
2038,dpz2x4y,"{0: 0.25, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.4, 7: 0.3333, 8: 0.3077, 9: 0.3261, 10: 0.325, 11: 0.1944, 12: 0.2, 13: 0.4583, 14: 0.325, 15: 0.1667, 16: 0.2083, 17: 0.1724, 18: 0.25, 19: 0.2222, 20: 0.0667, 21: 0.1579, 22: 0.1, 23: 0.1}"
2039,dpz8efc,"{0: 0.1538, 1: 0.0526, 2: 0, 3: 0.2, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.1111, 11: 0, 12: 0.2143, 13: 0.129, 14: 0.0833, 15: 0.125, 16: 0, 17: 0.1111, 18: 0.2069, 19: 0.2143, 20: 0.25, 21: 0.0909, 22: 0.0417, 23: 0.15}"
2040,dpz2x4v,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0.5, 10: 0, 11: 0.25, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2041,dpz2t4g,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0476, 8: 0, 9: 0.069, 10: 0, 11: 0.0577, 12: 0.0143, 13: 0.0583, 14: 0.04, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2042,dpz2wfv,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.25, 10: 0, 11: 0.1818, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0.5, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2043,dpz2wfg,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.1111, 12: 0.0882, 13: 0.2857, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2044,dpz896g,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0625, 10: 0.1111, 11: 0, 12: 0, 13: 0.1667, 14: 0.2, 15: 0, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0.3333, 22: 0, 23: 0.5}"
2045,dpz896u,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0714, 10: 0.1, 11: 0, 12: 0, 13: 0.2222, 14: 0.1364, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2046,dpz884z,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.2857, 11: 0, 12: 0.1111, 13: 0.5, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2047,dpz886z,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.6667, 10: 0.25, 11: 1, 12: 0, 13: 0, 14: 0, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2048,dpz2sfc,"{0: 0.1304, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0.1, 20: 0.2, 21: 0, 22: 0, 23: 0.0909}"
2049,dpz886f,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0625, 9: 0.3333, 10: 0, 11: 0.375, 12: 0, 13: 0, 14: 0.5, 15: 0.3333, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2050,dpz2tfu,"{0: 0.2, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.1471, 12: 0, 13: 0.0556, 14: 0.0625, 15: 0.0714, 16: 0.0333, 17: 0.05, 18: 0, 19: 0, 20: 0, 21: 0.25, 22: 0, 23: 0}"
2051,dpz896b,"{0: 0, 1: 0, 2: 0.5, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.2857, 10: 0.5, 11: 0.4, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0.3333, 17: 0, 18: 0, 19: 0, 20: 1, 21: 0, 22: 0, 23: 0}"
2052,dpz89fg,"{0: 0.25, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.25, 9: 0.125, 10: 0.25, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0.2222, 16: 0, 17: 0, 18: 0, 19: 0.0385, 20: 0, 21: 0, 22: 0.0714, 23: 0.1818}"
2053,dpz884y,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.125, 10: 0.05, 11: 0, 12: 0.4, 13: 0, 14: 0.4286, 15: 0.1, 16: 0.25, 17: 0, 18: 0, 19: 0.5, 20: 0, 21: 0, 22: 0, 23: 0}"
2054,dpz886g,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.2, 9: 0.1429, 10: 0.1, 11: 0.5, 12: 0, 13: 0.1429, 14: 0.25, 15: 0.3333, 16: 0, 17: 0, 18: 0, 19: 0.75, 20: 0, 21: 0, 22: 0, 23: 0}"
2055,dpz896f,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0526, 10: 0.0741, 11: 0.1398, 12: 0.0667, 13: 0, 14: 0.0909, 15: 0, 16: 0.1667, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2056,dpz2wdy,"{0: 0, 1: 0, 2: 0, 3: 0.3333, 4: 0.3333, 5: 0, 6: 0, 7: 0, 8: 0.3333, 9: 0.0833, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0.1111, 16: 0.0556, 17: 0.0455, 18: 0.087, 19: 0.0417, 20: 0, 21: 0, 22: 0.0588, 23: 0}"
2057,dpz2tdz,"{0: 0, 1: 0.2, 2: 0, 3: 0.5, 4: 0, 5: 0.5, 6: 0, 7: 0, 8: 0.2, 9: 0, 10: 0.2, 11: 0.2857, 12: 0.125, 13: 0.125, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0.1111, 21: 0, 22: 0, 23: 0}"
2058,dpz896c,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.25, 6: 0, 7: 0.0476, 8: 0, 9: 0.0667, 10: 0.1481, 11: 0, 12: 0, 13: 0, 14: 0.2, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0.5, 23: 0}"
2059,dpz2tdy,"{0: 0, 1: 0.0385, 2: 0.0476, 3: 0, 4: 0.0714, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0435, 10: 0.075, 11: 0.25, 12: 0.1154, 13: 0.0385, 14: 0.04, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0.0541, 20: 0, 21: 0.0556, 22: 0.0125, 23: 0.0441}"
2060,dpz2wfu,"{0: 0, 1: 0, 2: 0, 3: 0.0625, 4: 0.0667, 5: 0, 6: 0.1, 7: 0, 8: 0, 9: 0.0238, 10: 0.0333, 11: 0.175, 12: 0.0227, 13: 0, 14: 0.0455, 15: 0.1, 16: 0, 17: 0.05, 18: 0.0417, 19: 0, 20: 0.0556, 21: 0, 22: 0.0667, 23: 0.0769}"
2061,dpz83ec,"{0: 0.125, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0185, 7: 0.1496, 8: 0.0408, 9: 0.0365, 10: 0.0955, 11: 0.1241, 12: 0.0463, 13: 0.15, 14: 0.0303, 15: 0.0395, 16: 0, 17: 0.0455, 18: 0.04, 19: 0.05, 20: 0.0455, 21: 0, 22: 0, 23: 0.1111}"
2062,dpz83gg,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0667, 7: 0.1333, 8: 0, 9: 0.1, 10: 0.2692, 11: 0.05, 12: 0.1316, 13: 0.2222, 14: 0.2, 15: 0.0313, 16: 0.4, 17: 0.5, 18: 0.1429, 19: 0, 20: 0, 21: 0.75, 22: 0, 23: 0}"
2063,dpz83ef,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0233, 7: 0.0141, 8: 0.0517, 9: 0.0467, 10: 0.1074, 11: 0.1346, 12: 0.0962, 13: 0, 14: 0.0714, 15: 0, 16: 0.1, 17: 0, 18: 0.0667, 19: 0, 20: 0, 21: 0, 22: 0.0714, 23: 0.3333}"
2064,dpz83eb,"{0: 0, 1: 1, 2: 0.25, 3: 0, 4: 0, 5: 0.2237, 6: 0.088, 7: 0.0833, 8: 0.1, 9: 0.0932, 10: 0.0489, 11: 0.1538, 12: 0.1316, 13: 0.1319, 14: 0.1806, 15: 0.1, 16: 0.1176, 17: 0.1, 18: 0.12, 19: 0.1429, 20: 0.1429, 21: 0.3333, 22: 0, 23: 0.1667}"
2065,dpz837y,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.0235, 6: 0.1111, 7: 0.098, 8: 0.05, 9: 0.0833, 10: 0.1078, 11: 0.0833, 12: 0.0319, 13: 0.0472, 14: 0.0417, 15: 0.0294, 16: 0.0667, 17: 0, 18: 0, 19: 0.0667, 20: 0.1818, 21: 0, 22: 0, 23: 0}"
2066,dpz86ec,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.5, 11: 0, 12: 0.3333, 13: 0.2, 14: 0.6667, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2067,dpz835u,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.3333, 10: 0, 11: 0.3333, 12: 0, 13: 0, 14: 0, 15: 0.1111, 16: 0, 17: 0.0588, 18: 0.1429, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2068,dpz825c,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1667, 8: 0, 9: 0.0625, 10: 0, 11: 0, 12: 0, 13: 0.0625, 14: 0, 15: 0, 16: 0, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2069,dpz835f,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.3333, 7: 0.4, 8: 0, 9: 0, 10: 0, 11: 0.25, 12: 0, 13: 0.125, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2070,dpz2r5y,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.5, 9: 0.5, 10: 0, 11: 0, 12: 0, 13: 0.2857, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2071,dpz825v,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.5, 8: 0, 9: 0.3333, 10: 0.1429, 11: 0, 12: 0, 13: 0, 14: 0.3333, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2072,dpz867b,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.5, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.6, 14: 0, 15: 0.5, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2073,dpz2rgz,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.25, 11: 0, 12: 0, 13: 0, 14: 0.25, 15: 0.5, 16: 0, 17: 0, 18: 0, 19: 1, 20: 0, 21: 0, 22: 0, 23: 0}"
2074,dpz2qeg,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0526, 11: 0.0313, 12: 0.125, 13: 0, 14: 0.0833, 15: 0.2, 16: 0.25, 17: 0, 18: 0, 19: 0, 20: 1, 21: 1, 22: 0, 23: 0}"
2075,dpz827f,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.25, 10: 0.5, 11: 0.1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.125, 19: 0, 20: 0, 21: 0, 22: 0.3333, 23: 0}"
2076,dpz837c,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0833, 9: 0.2, 10: 0.1, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0.3333, 23: 0}"
2077,dpz837f,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0769, 7: 0.0667, 8: 0, 9: 0.0278, 10: 0, 11: 0.0667, 12: 0.0833, 13: 0.1429, 14: 0.0313, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2078,dpz825u,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.5, 7: 0.125, 8: 0, 9: 0, 10: 0, 11: 0.1429, 12: 0, 13: 0.3333, 14: 0.0714, 15: 0, 16: 0, 17: 0.3333, 18: 0.3333, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2079,dpz867v,"{0: 0.5, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0909, 10: 0.1429, 11: 0.1, 12: 0.125, 13: 0.1667, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2080,dpz86gc,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0556, 9: 0.3333, 10: 0.1, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0.2, 18: 0, 19: 0.1429, 20: 0.3333, 21: 0, 22: 0, 23: 0}"
2081,dpz827c,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.2, 9: 0.0625, 10: 0.125, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0.0556, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0.5, 21: 0, 22: 0, 23: 0}"
2082,dpz865b,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1667, 8: 0, 9: 0.1667, 10: 0, 11: 0, 12: 0, 13: 0.1429, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.5, 19: 0.5, 20: 0.1667, 21: 0, 22: 0, 23: 0}"
2083,dpz825z,"{0: 0, 1: 0, 2: 0.5, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0.5, 8: 0.1667, 9: 0.125, 10: 0, 11: 0.0294, 12: 0, 13: 0, 14: 0.1111, 15: 0, 16: 0.0769, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2084,dpz867c,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0455, 10: 0.0833, 11: 0.2, 12: 0, 13: 0.1667, 14: 0, 15: 0.375, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2085,dpz825b,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0714, 9: 0, 10: 0.0741, 11: 0.1136, 12: 0, 13: 0, 14: 0, 15: 0.0667, 16: 0.0667, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 1, 23: 0}"
2086,dpz827u,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.125, 12: 0, 13: 0.1667, 14: 0.125, 15: 0.25, 16: 0, 17: 0.2, 18: 0.0769, 19: 0.1667, 20: 0.037, 21: 0.1111, 22: 0, 23: 0}"
2087,dpz825y,"{0: 0, 1: 0, 2: 0.25, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0667, 11: 0.1111, 12: 0.1364, 13: 0, 14: 0.25, 15: 0, 16: 0.0556, 17: 0.0909, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0.3333}"
2088,dpz837g,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0267, 11: 0, 12: 0.0577, 13: 0.0278, 14: 0, 15: 0.129, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0.0056, 23: 0.0278}"
2089,dpz83ey,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.5, 7: 0.5, 8: 0.2857, 9: 0, 10: 0.3667, 11: 0.1563, 12: 0, 13: 0.1429, 14: 0.1429, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2090,dpz837u,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0909, 7: 0.0909, 8: 0.0962, 9: 0.0667, 10: 0.1765, 11: 0.1667, 12: 0, 13: 0.0833, 14: 0.1538, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2091,dpz867u,"{0: 0.25, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.6667, 9: 0.1333, 10: 0.0238, 11: 0.0588, 12: 0.0702, 13: 0.0111, 14: 0, 15: 0.1, 16: 0, 17: 0, 18: 0.2857, 19: 0.2, 20: 0.25, 21: 0, 22: 0, 23: 0}"
2092,dpz865f,"{0: 0.5, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0833, 7: 0.0882, 8: 0.0556, 9: 0.1176, 10: 0.1154, 11: 0.0769, 12: 0, 13: 0.05, 14: 0.0714, 15: 0.0909, 16: 0, 17: 0.2, 18: 0, 19: 0.5, 20: 0, 21: 0, 22: 0, 23: 0}"
2093,dpz83gb,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0054, 8: 0.0526, 9: 0.1364, 10: 0.1429, 11: 0.1111, 12: 0.0357, 13: 0.1429, 14: 0, 15: 0.0714, 16: 0, 17: 0, 18: 0.1429, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2094,dpz83eg,"{0: 0, 1: 0.25, 2: 0, 3: 0, 4: 0, 5: 0.0286, 6: 0, 7: 0, 8: 0, 9: 0.0455, 10: 0.0741, 11: 0, 12: 0.0714, 13: 0, 14: 0, 15: 0.087, 16: 0.087, 17: 0, 18: 0.1667, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0.3333}"
2095,dpz835g,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.2857, 10: 0.2857, 11: 0.1667, 12: 0, 13: 0.5, 14: 0, 15: 0.75, 16: 0.4, 17: 0.8333, 18: 0, 19: 0, 20: 0, 21: 1, 22: 0, 23: 0}"
2096,dpz827g,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.1, 7: 0, 8: 0, 9: 0, 10: 0.075, 11: 0.1, 12: 0.1538, 13: 0.2105, 14: 0.1111, 15: 0, 16: 0, 17: 0, 18: 0.0714, 19: 0.0714, 20: 0.125, 21: 0.0625, 22: 0, 23: 0}"
2097,dpz83eu,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.3, 8: 0.125, 9: 0.1429, 10: 0.1111, 11: 0.1176, 12: 0.2, 13: 0.1667, 14: 0.0833, 15: 0, 16: 0, 17: 0.25, 18: 0, 19: 0.1, 20: 0, 21: 0, 22: 0.5, 23: 1}"
2098,dpz867g,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0625, 8: 0.0833, 9: 0, 10: 0.1, 11: 0.04, 12: 0.0345, 13: 0.0882, 14: 0.2143, 15: 0.0714, 16: 0.1591, 17: 0.1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2099,dpz83ez,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.5, 6: 0.0227, 7: 0.1463, 8: 0.1379, 9: 0, 10: 0, 11: 0.1053, 12: 0.1538, 13: 0.1429, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.2, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
2100,dpz83gz,"{0: 0.3333, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.2727, 12: 0.1154, 13: 0.0536, 14: 0.0417, 15: 0, 16: 0.0517, 17: 0.0667, 18: 0, 19: 0.0652, 20: 0.0741, 21: 0.0588, 22: 0, 23: 0.2}"
2101,dpz867f,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1538, 8: 0, 9: 0.0185, 10: 0.1184, 11: 0.069, 12: 0.0435, 13: 0.1563, 14: 0.1538, 15: 0.2, 16: 0, 17: 0, 18: 0.1429, 19: 0.3333, 20: 0, 21: 0, 22: 0, 23: 0}"
2102,dpz835y,"{0: 0, 1: 0, 2: 0.05, 3: 0, 4: 0, 5: 0, 6: 0.0769, 7: 0, 8: 0.0588, 9: 0.0417, 10: 0.0313, 11: 0.1028, 12: 0.087, 13: 0, 14: 0.0625, 15: 0.1667, 16: 0.3333, 17: 0, 18: 0, 19: 0.1739, 20: 0, 21: 0, 22: 0, 23: 0}"
2103,dpz865c,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.25, 7: 0.0909, 8: 0.1538, 9: 0, 10: 0.3077, 11: 0.2917, 12: 0.25, 13: 0.2778, 14: 0.1667, 15: 0.25, 16: 0.1429, 17: 0, 18: 0, 19: 0, 20: 0, 21: 1, 22: 1, 23: 0}"
2104,dpz83gy,"{0: 0, 1: 0.2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.6667, 7: 0.1667, 8: 0.2727, 9: 0, 10: 0.0625, 11: 0, 12: 0.1, 13: 0.2667, 14: 0.15, 15: 0.0625, 16: 0.1818, 17: 0.0833, 18: 0.0833, 19: 0.0714, 20: 0, 21: 0.25, 22: 0, 23: 0}"
