,geohash,SearchingByHour
27,dpz2jyb,"{0: 0.5, 1: 0.5, 2: 0, 3: 0, 4: 0, 5: 0.3333, 6: 0.3, 7: 0.1429, 8: 0.375, 9: 0.25, 10: 0.0769, 11: 0.1538, 12: 0.1333, 13: 0.375, 14: 0, 15: 0.0833, 16: 0.0833, 17: 0, 18: 0.1111, 19: 0.0952, 20: 0, 21: 0.1429, 22: 0.25, 23: 1}"
28,dpz2nnr,"{0: 0.2, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.1979, 6: 0.04, 7: 0.0909, 8: 0, 9: 0.2857, 10: 0, 11: 0.0435, 12: 0.069, 13: 0.0147, 14: 0.0741, 15: 0, 16: 0.0588, 17: 0, 18: 0.1111, 19: 0, 20: 0.0735, 21: 0, 22: 0, 23: 1}"
29,dpz2jsy,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1326, 8: 0.1667, 9: 0, 10: 0, 11: 0.125, 12: 0.1667, 13: 0.2647, 14: 0.1923, 15: 0.5714, 16: 0.4, 17: 0.8571, 18: 0.6429, 19: 0.7778, 20: 0.6667, 21: 0.5, 22: 0, 23: 0}"
30,dpz2zsx,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0769, 7: 0.1, 8: 0.2, 9: 0.25, 10: 0.0714, 11: 0.2143, 12: 0.0909, 13: 0.0455, 14: 0.1429, 15: 0.2727, 16: 0.1176, 17: 0.0714, 18: 0.3636, 19: 0.1429, 20: 0, 21: 0, 22: 0, 23: 0}"
31,dpz972n,"{0: 0, 1: 0.3333, 2: 0, 3: 0.6667, 4: 0, 5: 0, 6: 0.0936, 7: 0.0619, 8: 0.0383, 9: 0.096, 10: 0.0651, 11: 0.0574, 12: 0.0609, 13: 0.1169, 14: 0.1992, 15: 0.1535, 16: 0.1648, 17: 0.2064, 18: 0.2035, 19: 0.119, 20: 0.1607, 21: 0.0658, 22: 0.2105, 23: 0.3667}"
32,dpz9k9t,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0.2222, 13: 0.125, 14: 0.2, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
33,dpz9kec,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.1176, 12: 0.0625, 13: 0.1111, 14: 0, 15: 0.0152, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
34,dpz8s43,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.25, 10: 1, 11: 0.2, 12: 0.1667, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.5, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
35,dpz9537,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.5, 10: 0.3333, 11: 0, 12: 0, 13: 0, 14: 0.25, 15: 0, 16: 0.0833, 17: 0.5, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
36,dpz9j41,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0667, 8: 0, 9: 0, 10: 0, 11: 0.0769, 12: 0.087, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.0526, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
